label,text
spam,"Congratulations! You've been selected as a winner of our $1,000,000 lottery. Click here to claim your prize immediately before it expires!"
ham,"Hi John, just wanted to confirm our meeting tomorrow at 10am. Let me know if the time still works for you."
spam,"URGENT: Your account has been suspended! Verify your details NOW to avoid permanent closure. Act immediately!"
ham,"Hey, can you send me the report from last week? I need it for the presentation on Friday."
spam,"FREE iPhone 15 Pro! You have been chosen. Limited time offer. Click the link to claim your free gift today!"
ham,"Please find attached the minutes from yesterday's team meeting. Let me know if you have any questions."
spam,"You have won a cruise vacation worth $5000! Reply with your personal details to confirm your reservation."
ham,"Reminder: your dentist appointment is scheduled for Thursday at 3:30 PM. Please call to reschedule if needed."
spam,"Make $5000 per week working from home! No experience needed. Join thousands of people already earning big!"
ham,"Hi Mom, I'll be home for dinner on Sunday. Should I bring anything? Looking forward to seeing everyone."
spam,"Your PayPal account is limited! Log in immediately to restore full access or your account will be closed."
ham,"The quarterly financial report is ready for your review. Please check the attached PDF and provide feedback."
spam,"WINNER NOTIFICATION: You have been randomly selected to receive a $500 gift card. Claim within 24 hours!"
ham,"Good morning, this is a reminder that the server maintenance is scheduled for Saturday night from 11 PM to 2 AM."
spam,"Lose 30 pounds in 30 days with our miracle weight loss pill! No diet or exercise required. Order now!"
ham,"Can we move our call to 3 PM instead of 2? I have a conflict that just came up. Sorry for the inconvenience."
spam,"Your bank account needs verification. Click here to enter your credentials and secure your account immediately."
ham,"I've reviewed the proposal and I think it looks great. Just a few minor edits on page 4 and we should be good."
spam,"Get rich quick! Invest just $100 and earn $10,000 in 7 days. Guaranteed returns. Limited spots available!"
ham,"The kids had a great time at the birthday party. Thank you so much for having us over, it was wonderful!"
spam,"Hot singles in your area want to meet you! Sign up for free and start chatting with local girls tonight!"
ham,"Please remember to submit your timesheet by end of day Friday. HR needs it for payroll processing."
spam,"ALERT: Suspicious login detected on your account. Click here immediately to secure your account and reset password."
ham,"Just checking in to see how you're doing. It's been a while since we caught up. Hope everything is going well!"
spam,"You have a pending package delivery. Pay the $2.99 shipping fee now or your package will be returned."
ham,"The new version of the software has been deployed to production. Please test your workflows and report any issues."
spam,"Earn unlimited income from home! Our proven system has helped thousands achieve financial freedom. Join today free!"
ham,"Could you please review the attached contract before our call tomorrow? I want to make sure we're aligned."
spam,"Congratulations, your email was selected for a $1000 Amazon gift card. Click to verify and receive your reward!"
ham,"I'll be out of office from December 20 to January 2. For urgent matters, please contact Sarah at ext. 204."
spam,"Nigerian Prince needs your help! I have $45 million to transfer. Share your bank details and get 30% commission."
ham,"The book club meeting is on Wednesday at 7 PM. We'll be discussing chapters 12 through 18 of the novel."
spam,"FINAL WARNING: Your subscription expires today. Renew now or lose access to all premium features forever!"
ham,"Great work on the presentation yesterday! The client was really impressed. Let's debrief this afternoon."
spam,"Buy Viagra, Cialis online without prescription! Cheapest prices guaranteed. Discreet shipping worldwide."
ham,"Happy birthday! Hope you have a wonderful day surrounded by people you love. Let's celebrate this weekend!"
spam,"You are pre-approved for a $50,000 loan with 0% interest! Apply now, no credit check required."
ham,"The project deadline has been moved to next Friday. Please update your task list and inform your team members."
spam,"Your computer is infected with a virus! Call our toll-free number NOW for immediate technical support."
ham,"Could you pick up some groceries on the way home? We need milk, eggs, and bread. Thanks so much!"
spam,"Double your Bitcoin in 24 hours! Our trading bot guarantees 200% returns. Invest now before it's too late!"
ham,"Just a heads up that the office will be closed on Monday for the public holiday. Enjoy the long weekend!"
spam,"Exclusive VIP offer: get a free luxury watch worth $5000. Just pay shipping and handling of $29.99."
ham,"The code review for the new feature is done. I've left comments in the pull request for your reference."
spam,"Work from home and earn $300 per day just by filling out surveys! No skills required. Start today!"
ham,"Can you recommend a good restaurant near downtown? We're taking a client out for dinner on Thursday."
spam,"Your Microsoft account has been hacked! Immediate action required. Call 1-800-FAKE-NUM to secure your data."
ham,"I've attached the agenda for next week's board meeting. Please review it and send any additions by Wednesday."
spam,"CASH PRIZE: You have been selected to win $10,000! Enter your bank account details to receive your transfer."
ham,"The gym class schedule has changed. Yoga is now on Tuesday and Thursday evenings starting next week."
spam,"Meet beautiful foreign women looking for love! Browse thousands of profiles and find your perfect match today."
ham,"Thanks for covering my shift last week. I really appreciate it. Let me know when I can return the favor."
spam,"LIMITED OFFER: Buy one get three free on all supplements! Burn fat, build muscle, transform your body now!"
ham,"The flight has been booked for the conference. Your itinerary is attached. Hotel confirmation will follow shortly."
spam,"IRS NOTICE: You owe back taxes. Pay immediately to avoid arrest and legal prosecution. Call this number now."
ham,"Loved the article you shared yesterday. Really thought-provoking stuff. We should discuss it over coffee sometime."
spam,"Claim your inheritance! A distant relative left you $2.3 million. Contact our law firm to start the process."
ham,"The Henderson account called. They want to move up the delivery date. Can we accommodate that timeline?"
spam,"FREE TRIAL: Try our premium dating service for 30 days! Meet thousands of compatible singles in your area."
ham,"We're having a small gathering at our place on Saturday evening. Hope you can make it! Starts around 7."
spam,"Your streaming subscription has expired. Update your payment method now to continue watching without interruption."
ham,"I've completed the data analysis you requested. The results are in the shared folder. Happy to walk you through it."
spam,"BREAKING: Make $1000 daily with this one weird trick! Bankers hate him. Click to discover the secret."
ham,"Just a reminder that the parking garage will be closed for maintenance on Tuesday. Please use street parking."
spam,"You have inherited unclaimed funds of $8,700,000. To claim, send your full name and bank account number."
ham,"The new policy document is ready for your signature. I've sent it through DocuSign. Please review at your earliest convenience."
spam,"HOT DEAL: Rolex watches at 90% off! Authentic luxury brands for less. Order now, ships from Switzerland!"
ham,"Good luck with your job interview tomorrow! You've prepared really well and I know you'll do great."
spam,"Your account has accumulated reward points worth $500. Redeem now before they expire at midnight tonight!"
ham,"The test results came back normal. The doctor said everything looks good and there's nothing to worry about."
spam,"JACKPOT WINNER! You have won the international lottery. Claim your $3.5 million prize by contacting us today."
ham,"I'll send over the revised budget by end of day. We made a few adjustments based on the feedback from finance."
spam,"Get your high school diploma online in just 2 weeks! Fully accredited, no classes required. Enroll today!"
ham,"The kids are asking about camping this summer. Should we book the same spot as last year? It was perfect."
spam,"SECURITY ALERT: Your Google account was accessed from an unknown device. Click here to verify your identity now."
ham,"Monthly newsletter: check out the latest updates from our community, upcoming events, and member spotlights!"
spam,"Enlarge your assets with our new pill! Thousands of satisfied customers. Discreet billing and fast shipping."
ham,"The conference call with the Tokyo office is rescheduled to 9 AM due to time zone differences. Please update your calendars."
spam,"CONGRATULATIONS! You're our 1,000,000th visitor! You've won a brand new laptop. Click to claim your prize!"
ham,"I read your latest blog post and really enjoyed it. Your writing has improved so much over the past year."
spam,"Cheap meds online! No prescription needed. Prozac, Xanax, Ambien shipped overnight. Order now and save 80%!"
ham,"Could you proof-read the client proposal before I send it out? Just want a second pair of eyes on it."
spam,"Your loan application is approved! Get up to $50,000 deposited directly to your account within 24 hours."
ham,"The weekly standup is moving to 9:30 AM starting next Monday. Please update your calendars accordingly."
spam,"FLASH SALE: Louis Vuitton handbags 95% off! Today only. Free worldwide shipping on all orders over $50."
ham,"Thank you for attending the workshop yesterday. Your feedback form has been received and is greatly appreciated."
spam,"Special offer just for you! Refinance your mortgage and save thousands. No fees, no obligations. Call now!"
ham,"The printer on the 3rd floor is out of toner. IT has been notified and a replacement is being ordered."
spam,"Meet your perfect partner today! Our compatibility algorithm guarantees you'll find true love within 30 days."
ham,"Congratulations on your promotion! You've worked so hard for this and you truly deserve it. Let's celebrate!"
spam,"VIRUS DETECTED ON YOUR PC! Your data is at risk. Call Microsoft support at 1-888-000-FAKE immediately!"
ham,"The monthly team lunch is on the last Friday of the month. We'll be going to the new Italian place downtown."
spam,"Become a millionaire by following our step-by-step system. Over 10,000 success stories. Start free today!"
ham,"Just wanted to say thank you for your help with the move last weekend. We couldn't have done it without you!"
spam,"Your debit card has been blocked due to suspicious activity. Call us immediately to unblock it. Urgent!"
ham,"The library books you requested are now available for pickup. They will be held for 7 days at the front desk."
spam,"AMAZING OPPORTUNITY: Be your own boss! Start a home-based business and earn $5000+ per month guaranteed!"
ham,"We're reorganizing the storage room next Thursday. Please clear out any personal items before then. Thanks!"
spam,"Get a free psychic reading! Our certified psychics will reveal your future and help you find love and money."
ham,"Just got back from vacation. The trip was absolutely amazing. I'll share the photos at our next get-together!"
spam,"Your email has been flagged for a cash reward program. Enter your details to receive your $750 bonus now."
ham,"The annual performance reviews will begin next month. Please complete your self-assessment by the 15th."
spam,"FINAL NOTICE: Your warranty is about to expire. Call now to extend your vehicle warranty before it's too late!"
ham,"I'll be working remotely for the rest of the week. I'm available on Slack and email as usual during business hours."
spam,"Mega sale on prescription drugs! Save 70% on Viagra, Cialis, Levitra. No prescription needed. Order online!"
ham,"Hope you feel better soon! Rest up and don't worry about work. We have everything covered here. Take care!"
spam,"You have a pending wire transfer of $15,000. Verify your bank details now to receive the funds within hours."
ham,"The client approved the final design mockups. We're good to move forward with development starting Monday."
spam,"WIN A CAR! Enter our sweepstakes for a chance to win a brand new Tesla Model 3. No purchase necessary."
ham,"Can you add the Q3 numbers to the dashboard before the meeting? The CFO wants to review them beforehand."
spam,"Exciting investment opportunity! Crypto trading platform with guaranteed 500% returns. Join now before it closes!"
ham,"The office supplies have been restocked. If you need anything specific going forward, please submit a request form."
spam,"You're eligible for a free government grant of $9,000! Apply today, no repayment required. Limited funds available!"
ham,"Just a reminder to complete the mandatory security training by the end of the month. It only takes about 20 minutes."
spam,"HOT SINGLES NEAR YOU! Thousands of women want to meet you right now. Join for free and start flirting tonight!"
ham,"The renovation on the break room is finishing up this week. It should be accessible again by Thursday morning."
spam,"URGENT RECALL NOTICE: Your medication has been recalled due to contamination. Call this number for a replacement."
ham,"The proposal looks solid. I only have one suggestion on the pricing section. Let's talk through it before you send."
spam,"Cash advance up to $1500 in your account by tomorrow! No credit check, no fuss. Apply in 5 minutes online."
ham,"We've added two new members to the team this week. Please join me in welcoming Sarah and Michael to the department."
spam,"Unlock the secret to permanent weight loss! Celebrities use this trick to stay slim effortlessly. Click to learn more."
ham,"Don't forget to bring the signed permission slips for the field trip on Wednesday. Drop them off at the main office."
spam,"Your inheritance from a deceased relative in the UK is unclaimed. Contact our solicitors to receive £2,400,000."
ham,"The project retrospective is scheduled for Friday at 2 PM. Please come prepared with your thoughts on what went well."
spam,"SPECIAL DISCOUNT: Get 3 months of premium VPN service for free! Protect your online privacy today. Limited offer."
ham,"I finished reading the book you recommended. It was fantastic! I can see why you loved it. Thanks for the suggestion."
spam,"Make real money online by clicking ads! Earn up to $500 a day from home. No investment needed. Start now!"
ham,"The package you ordered has been shipped and should arrive by Thursday. Your tracking number is in the email below."
spam,"ACCOUNT ALERT: Unusual spending detected on your credit card. Confirm your identity now to prevent fraud."
ham,"We had a great turnout at the charity event last night. We raised over $10,000 for the local food bank!"
spam,"EXCLUSIVE MEMBERS ONLY: Access premium adult content for free for 24 hours. Click here to unlock everything."
ham,"Could you forward me the contact info for the vendor we used for the last event? I can't find it in my records."
spam,"Your social security number has been suspended due to suspicious activity. Call immediately to reactivate it."
ham,"The new employee handbook has been updated. Please read through the changes to the leave and expense policies."
